Airport Code,Airport Name,City,Country,Latitude,Longitude,Removal Percent,State,Total Dropoff Flights,Total Dropoffs,Total Flights,Total Passengers,Total Pickup Flights,Total Pickups,Total Removals,Total Transfers,Transfer Percent
VDPP,Phnom Penh International Airport,Phnom Penh,Cambodia,11.546,104.844,100.0,,9,120,9,120,0,0,120,0,0.0
VGHS,Dhaka Shahjalal International Airport,Dhaka,Bangladesh,23.842778,90.400556,100.0,,8,269,8,269,0,0,269,0,0.0
VIDP,Indira Gandhi International Airport,Delhi,India,28.566,77.10300000000002,100.0,,9,395,9,395,0,0,395,0,0.0
VNKT,Tribhuvan International Airport,Kathmandu,Nepal,27.696,85.359,100.0,,3,16,3,16,0,0,16,0,0.0
VTBS,Suvarnabhumi Airport,Bangkok,Thailand,13.6925,100.75,100.0,,1,1,1,1,0,0,1,0,0.0
VVTS,Tan So'n Nhat International Airport,Ho Chi Minh,Vietnam,10.82,106.662,100.0,,5,73,5,73,0,0,73,0,0.0
VYYY,Yangon International Airport,Yangon,Myanmar,16.907,96.133,100.0,,1,7,1,7,0,0,7,0,0.0
YSSY,Sydney Kingsford Smith Airport,Sydney,Australia,-33.946,151.17700000000005,100.0,,1,2,1,2,0,0,2,0,0.0
ZBAA,Beijing Capital International Airport,Beijing,China,40.08,116.584,100.0,,1,6,1,6,0,0,6,0,0.0
ZSFZ,Fuzhou Changle International Airport,Fuzhou,China,25.933000000000003,119.662,100.0,,4,156,4,156,0,0,156,0,0.0
