ICAOCode, AirportName,Altitude,City,Country,IATACode,LatitudeDecimalDegrees,LatitudeDegrees,LatitudeDirection,LatitudeMinutes,LatitudeSeconds,LongitudeDecimalDegrees,LongitudeDegrees,LongitudeDirection,LongitudeMinutes,LongitudeSeconds
EKEB,ESBJERG,30.0,ESBJERG,DENMARK,EBJ,55.526,55.0,N,31.0,33.0,8.552999999999999,8.0,E,33.0,12.0
EKGF,,0.0,THYRA OST,DENMARK,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
EKGH,GRONHOLT HILLEROD,30.0,GRONHOLT,DENMARK,,55.941,55.0,N,56.0,28.0,12.382,12.0,E,22.0,56.0
EKHG,,0.0,HERNING,DENMARK,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
EKHO,LINDTORP,15.0,LINDTORP,DENMARK,,56.397,56.0,N,23.0,48.0,8.443,8.0,E,26.0,36.0
EKHS,,0.0,HADSUND,DENMARK,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
EKKA,KARUP,52.0,KARUP,DENMARK,KRP,56.297,56.0,N,17.0,50.0,9.124,9.0,E,7.0,28.0
EKKL,,0.0,KALUNDBORG,DENMARK,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
EKLS,LAESO,8.0,LAESO,DENMARK,,57.278,57.0,N,16.0,40.0,11.001,11.0,E,0.0,5.0
EKLV,,0.0,LEMVIK,DENMARK,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
EKMB,LOLLAND FALSTER MARIBO,5.0,MARIBO,DENMARK,,54.699,54.0,N,41.0,57.0,11.44,11.0,E,26.0,24.0
EKMN,,0.0,KOSTER VIG,DENMARK,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
EKNM,,0.0,MORSO,DENMARK,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
EKNS,,0.0,NAKSKOV,DENMARK,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
EKOD,ODENSE,18.0,ODENSE,DENMARK,ODE,55.476000000000006,55.0,N,28.0,34.0,10.329,10.0,E,19.0,45.0
EKPB,KRUSA PADBORG,27.0,KRUSA-PADBORG,DENMARK,,54.87,54.0,N,52.0,13.0,9.279,9.0,E,16.0,45.0
EKRD,,0.0,RANDERS,DENMARK,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
EKRK,ROSKILDE,45.0,COPENHAGEN,DENMARK,RKE,55.586000000000006,55.0,N,35.0,8.0,12.130999999999998,12.0,E,7.0,53.0
EKRN,BORNHOLM RONNE,16.0,RONNE,DENMARK,RNN,55.063,55.0,N,3.0,47.0,14.759,14.0,E,45.0,34.0
EKRR,,0.0,RO,DENMARK,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
EKRS,,0.0,RINGSTED,DENMARK,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
EKSB,SONDERBORG,8.0,SOENDERBORG,DENMARK,SGD,54.964,54.0,N,57.0,51.0,9.792,9.0,E,47.0,30.0
EKSD,,0.0,SPJALD,DENMARK,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
EKSN,SINDAL,29.0,SINDAL,DENMARK,,57.503,57.0,N,30.0,12.0,10.229,10.0,E,13.0,45.0
EKSP,SKRYDSTRUP,43.0,SKRYDSTRUP,DENMARK,SKS,55.225,55.0,N,13.0,31.0,9.264,9.0,E,15.0,50.0
EKSS,,0.0,SAMSO,DENMARK,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
EKST,,0.0,SYDFYN,DENMARK,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
EKSV,SKIVE,23.0,SKIVE,DENMARK,,56.55,56.0,N,33.0,0.0,9.173,9.0,E,10.0,22.0
EKTD,,0.0,TONDER,DENMARK,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
EKTS,THISTED,8.0,THISTED,DENMARK,TED,57.068999999999996,57.0,N,4.0,7.0,8.705,8.0,E,42.0,18.0
EKVA,VANDEL,74.0,VANDEL,DENMARK,,55.696999999999996,55.0,N,41.0,49.0,9.193,9.0,E,11.0,36.0
EKVB,,0.0,VIBORG,DENMARK,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
EKVD,KOLDING VAMDRUP,44.0,KOLDING,DENMARK,,55.43600000000001,55.0,N,26.0,10.0,9.331,9.0,E,19.0,51.0
EKVG,VAGAR,86.0,VAGAR,FAROE ISL.,FAE,62.06399999999999,62.0,N,3.0,49.0,-7.277,7.0,W,16.0,37.0
EKVH,AARS,37.0,VESTHIMMERLAND,DENMARK,,56.847,56.0,N,50.0,49.0,9.459,9.0,E,27.0,31.0
EKVJ,STAUNING,6.0,STAUNING,DENMARK,STA,55.99,55.0,N,59.0,24.0,8.354,8.0,E,21.0,14.0
EKVL,VAERLOSE,18.0,VAERLOSE,DENMARK,,55.766999999999996,55.0,N,46.0,2.0,12.343,12.0,E,20.0,36.0
EKYT,AALBORG,4.0,AALBORG,DENMARK,AAL,57.093,57.0,N,5.0,34.0,9.849,9.0,E,50.0,56.0
ELLX,FINDEL INTERNATIONAL AIRPORT,377.0,LUXEMBURG,LUXEMBURG,LUX,49.626000000000005,49.0,N,37.0,35.0,6.211,6.0,E,12.0,41.0
ELWZ,,0.0,WILTZ,LUXEMBURG,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
ENAL,VIGRA,22.0,ALESUND,NORWAY,AES,62.56,62.0,N,33.0,37.0,6.11,6.0,E,6.0,36.0
ENAN,ANDOYA,14.0,ANDOYA,NORWAY,ANX,69.293,69.0,N,17.0,33.0,16.144000000000002,16.0,E,8.0,39.0
ENAS,,0.0,NY ALESUND,NORWAY,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
ENAT,ALTA,3.0,ALTA,NORWAY,ALF,69.977,69.0,N,58.0,37.0,23.366,23.0,E,21.0,58.0
ENBA,,0.0,BARENTSBURG,NORWAY,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
ENBJ,,0.0,BJORNOYA,NORWAY,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
ENBL,BRINGELAND,319.0,FORDE,NORWAY,,61.391999999999996,61.0,N,23.0,33.0,5.763999999999999,5.0,E,45.0,51.0
ENBM,BOEMOEN,92.0,BOMOEN,NORWAY,,60.638999999999996,60.0,N,38.0,19.0,6.501,6.0,E,30.0,5.0
ENBN,BRONNOY,8.0,BRONNOYSUND,NORWAY,BNN,65.459,65.0,N,27.0,33.0,12.214,12.0,E,12.0,49.0
ENBO,BODO,13.0,BODOE,NORWAY,BOO,67.26899999999999,67.0,N,16.0,8.0,14.363,14.0,E,21.0,48.0
ENBR,BERGEN FLESLAND,51.0,BERGEN,NORWAY,BGO,60.293,60.0,N,17.0,36.0,5.218,5.0,E,13.0,5.0
ENBS,BATSFJORD,150.0,BATSFJORD,NORWAY,BJF,70.6,70.0,N,36.0,0.0,29.691999999999997,29.0,E,41.0,33.0
ENBV,,0.0,BERLEVAG,NORWAY,BVG,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
ENCN,KRISTIANSAND KJEVIK,18.0,KRISTIANSAND,NORWAY,KRS,58.20399999999999,58.0,N,12.0,15.0,8.085,8.0,E,5.0,7.0
ENDI,DAGALI,798.0,DAGLI,NORWAY,,60.417,60.0,N,25.0,0.0,8.514,8.0,E,30.0,50.0
ENDU,BARDUFOSS,77.0,BARDUFOSS,NORWAY,BDU,69.056,69.0,N,3.0,20.0,18.54,18.0,E,32.0,25.0
ENEG,,0.0,EGGEMDEN,NORWAY,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
ENEK,,0.0,EKOFISK,NORWAY,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
ENEV,EVENES,26.0,EVENES,NORWAY,EVE,68.491,68.0,N,29.0,28.0,16.678,16.0,E,40.0,41.0
ENFA,,0.0,FROYA,NORWAY,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
ENFB,OSLO FORNEBU,17.0,OSLO,NORWAY,FBU,59.896,59.0,N,53.0,44.0,10.617,10.0,E,37.0,1.0
ENFG,FAGERNES LEIRIN,823.0,FAGERNES,NORWAY,VDB,61.011,61.0,N,0.0,40.0,9.293,9.0,E,17.0,35.0
ENFL,FLORO,12.0,FLORO,NORWAY,FRO,61.583999999999996,61.0,N,35.0,2.0,5.025,5.0,E,1.0,30.0
ENFO,,0.0,FORHUS,NORWAY,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
ENFR,,0.0,FRIGG,NORWAY,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
ENFY,,0.0,FYRESDAL,NORWAY,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
ENFZ,,0.0,FRITZOE,NORWAY,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
ENGA,,0.0,GULLFAKS A,NORWAY,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
ENGC,,0.0,GULLFAX C,NORWAY,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
ENGM,OSLO GARDERMOEN,208.0,OSLO,NORWAY,OSL,60.193999999999996,60.0,N,11.0,38.0,11.1,11.0,E,6.0,1.0
ENGN,,0.0,GRIMSMOEN,NORWAY,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
ENHA,STAFSBERG,223.0,HAMAR,NORWAY,HMR,60.818000000000005,60.0,N,49.0,6.0,11.067,11.0,E,4.0,2.0
ENHD,HAUGESUND KARMOY,24.0,HAUGESUND,NORWAY,HAU,59.345,59.0,N,20.0,42.0,5.207999999999999,5.0,E,12.0,30.0
ENHF,,0.0,HAMMERFEST,NORWAY,HFT,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
ENHK,HASVIK,7.0,HASVIK,NORWAY,HAA,70.487,70.0,N,29.0,12.0,22.14,22.0,E,8.0,23.0
ENHN,,0.0,HORNMOEN,NORWAY,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
ENHO,,0.0,HOPEN,NORWAY,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
ENHS,,0.0,HOKKSUND,NORWAY,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
ENHV,,0.0,HONNINGSVAG,NORWAY,HVG,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
ENIS,,0.0,ISFJORD,NORWAY,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
ENJA,,0.0,JAN MAYEN ISLAND,NORWAY,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
ENJB,,0.0,JARLSBERG,NORWAY,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
ENKA,,0.0,KAUTOKEINO,NORWAY,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
ENKB,KRISTIANSUND KVERNBERGET,63.0,KRISTIANSUND,NORWAY,KSU,63.111999999999995,63.0,N,6.0,42.0,7.824,7.0,E,49.0,28.0
ENKJ,KJELLER,108.0,KJELLER,NORWAY,,59.968999999999994,59.0,N,58.0,9.0,11.036,11.0,E,2.0,9.0
ENKR,KIRKENES HOYBUKTMOEN,87.0,KIRKENES,NORWAY,KKN,69.725,69.0,N,43.0,30.0,29.886999999999997,29.0,E,53.0,15.0
ENLI,LISTA,9.0,LISTA,NORWAY,FAN,58.1,58.0,N,6.0,1.0,6.625,6.0,E,37.0,30.0
ENLK,,0.0,LEKNES,NORWAY,LKN,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
ENML,ARO,4.0,MOLDE,NORWAY,MOL,62.746,62.0,N,44.0,46.0,7.272,7.0,E,16.0,21.0
ENMR,,0.0,MEHAMN,NORWAY,MEH,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
ENMS,KJAERSTAD,73.0,MOSJOEN,NORWAY,MJF,65.78399999999999,65.0,N,47.0,2.0,13.215,13.0,E,12.0,53.0
ENNA,BANAK,8.0,BANAK,NORWAY,LKL,70.069,70.0,N,4.0,7.0,24.973000000000003,24.0,E,58.0,24.0
ENNK,,0.0,NARKVIK,NORWAY,NVK,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
ENNM,,0.0,NAMSOS,NORWAY,OSY,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
ENNO,NOTODDEN,20.0,NOTODDEN,NORWAY,,59.566,59.0,N,33.0,56.0,9.212,9.0,E,12.0,42.0
ENOA,,0.0,OSEBERG,NORWAY,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
ENOL,ORLAND,9.0,ORLAND,NORWAY,OLA,63.699,63.0,N,41.0,56.0,9.604,9.0,E,36.0,14.0
ENOV,,0.0,ORSTA-VOLDA,NORWAY,HOV,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
ENPY,,0.0,PYRAMIDEN,NORWAY,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
ENRA,,0.0,MO I RANA,NORWAY,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
ENRM,,0.0,RORVIK,NORWAY,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
ENRO,ROEROS,627.0,ROROS,NORWAY,RRS,62.578,62.0,N,34.0,42.0,11.342,11.0,E,20.0,32.0
ENRS,,0.0,ROST,NORWAY,RET,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
ENRY,RYGGE,54.0,RYGGE,NORWAY,,59.379,59.0,N,22.0,44.0,10.786,10.0,E,47.0,8.0
ENSA,,0.0,SVEA,NORWAY,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
ENSB,SVALBARD LONGYEAR,27.0,SVALBARD,NORWAY,LYR,78.24600000000001,78.0,N,14.0,46.0,15.466,15.0,E,27.0,56.0
ENSD,,0.0,SANDANE,NORWAY,SDN,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
ENSF,,0.0,STATFJORDA,NORWAY,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
ENSG,SOGNDAL HAUKASEN,499.0,SOGNDAL,NORWAY,SOG,61.156000000000006,61.0,N,9.0,22.0,7.136,7.0,E,8.0,11.0
ENSH,,0.0,SVOLVAER,NORWAY,SVJ,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
ENSK,,0.0,STOKMARKNES,NORWAY,SKN,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
ENSN,SKIEN GEITERYGGEN,142.0,SKIEN,NORWAY,SKE,59.185,59.0,N,11.0,6.0,9.567,9.0,E,34.0,1.0
ENSO,SOERSTOKKEN,49.0,STORD,NORWAY,SRP,59.792,59.0,N,47.0,30.0,5.341,5.0,E,20.0,27.0
ENSR,SORKJOSEN,1.0,SORKJOSEN,NORWAY,SOJ,69.78699999999999,69.0,N,47.0,13.0,20.959,20.0,E,57.0,34.0
ENSS,SVARTNES,13.0,SVARTNES,NORWAY,,70.355,70.0,N,21.0,19.0,31.045,31.0,E,2.0,41.0
ENST,STOKKA,18.0,SANDNESSJOEN,NORWAY,SSJ,65.957,65.0,N,57.0,24.0,12.469000000000001,12.0,E,28.0,8.0
ENTC,TROMSO,10.0,TROMSO,NORWAY,TOS,69.683,69.0,N,41.0,0.0,18.919,18.0,E,55.0,8.0
ENTO,TORP,88.0,TORP,NORWAY,TRF,59.187,59.0,N,11.0,12.0,10.259,10.0,E,15.0,31.0
ENVA,TRONDHEIM VAERNES,18.0,TRONDHEIM,NORWAY,TRD,63.458,63.0,N,27.0,27.0,10.94,10.0,E,56.0,23.0
ENVD,,0.0,VADSO,NORWAY,VDS,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
ENVY,,0.0,VAEROY,NORWAY,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
ENZV,STAVANGER SOLA,9.0,STAVANGER,NORWAY,SVG,58.876999999999995,58.0,N,52.0,36.0,5.638,5.0,E,38.0,16.0
EPBC,,0.0,WARSAW,POLAND,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
EPBK,,0.0,BIALYSTOK,POLAND,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
EPGD,REBIECHOWO,149.0,GDANSK,POLAND,GDN,54.376999999999995,54.0,N,22.0,39.0,18.465999999999998,18.0,E,27.0,58.0
EPGI,,0.0,GRUDZIADZ,POLAND,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
EPJG,,0.0,JELENIA GORA,POLAND,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
EPKA,,0.0,KIELCE,POLAND,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
EPKE,,0.0,KETRZYN,POLAND,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
EPKK,BALICE JP II INTERNATIONAL AIRPORT,242.0,KRAKOW,POLAND,KRK,50.078,50.0,N,4.0,39.0,19.785,19.0,E,47.0,5.0
EPKM,MUCHOWIEC,278.0,KATOWICE,POLAND,,50.238,50.0,N,14.0,18.0,19.035,19.0,E,2.0,6.0
EPKO,ZEGRZE POMORSKIE,76.0,KOSZALIN,POLAND,,54.042,54.0,N,2.0,32.0,16.264,16.0,E,15.0,49.0
EPKR,,0.0,KROSNO,POLAND,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
EPKT,PYRZOWICE,304.0,KATOWICE,POLAND,KTW,50.474,50.0,N,28.0,27.0,19.08,19.0,E,4.0,48.0
EPLL,LUBLINEK,185.0,LODZ,POLAND,,51.722,51.0,N,43.0,19.0,19.398,19.0,E,23.0,53.0
EPLS,,0.0,LESZNO,POLAND,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
EPML,MIELEC,168.0,MIELEC,POLAND,,50.321999999999996,50.0,N,19.0,20.0,21.462,21.0,E,27.0,43.0
EPNT,,0.0,NOWY TARG,POLAND,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
EPOD,,0.0,OLSZTYN,POLAND,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
EPPO,LAWICA,94.0,POZNAN,POLAND,POZ,52.42100000000001,52.0,N,25.0,16.0,16.826,16.0,E,49.0,35.0
EPPT,,0.0,PITRKOWTRYBUNALAKY,POLAND,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
EPRG,,0.0,RYBNIK,POLAND,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
EPRZ,JASIONKA,211.0,RZESZOW,POLAND,RZE,50.11,50.0,N,6.0,36.0,22.019000000000002,22.0,E,1.0,8.0
EPSC,GOLENIOW,47.0,SZCZECHIN,POLAND,SZZ,53.585,53.0,N,35.0,5.0,14.902000000000001,14.0,E,54.0,7.0
EPSD,DABIE,1.0,SZCZECHIN,POLAND,,53.391999999999996,53.0,N,23.0,31.0,14.634,14.0,E,38.0,1.0
EPSK,REDZIKOWO,67.0,SLUPSK,POLAND,OSP,54.479,54.0,N,28.0,44.0,17.108,17.0,E,6.0,27.0
EPSN,SWIDWIN,118.0,SHAPAJA,PERU,,53.791000000000004,53.0,N,47.0,26.0,15.828,15.0,E,49.0,41.0
EPSW,,0.0,SWIDNIK,POLAND,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
EPVN,,0.0,VILA DAS NEVES,SAO TOME & PRINCIPE,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
EPWA,OKECIE,111.0,WARSAW,POLAND,WAW,52.166000000000004,52.0,N,9.0,56.0,20.967,20.0,E,58.0,1.0
EPWR,STRACHOWICE,124.0,WROCLAW,POLAND,WRO,51.102,51.0,N,6.0,9.0,16.886,16.0,E,53.0,9.0
EPZG,BABIMOST,60.0,ZIELONA GORA,POLAND,IEG,52.138999999999996,52.0,N,8.0,19.0,15.799000000000001,15.0,E,47.0,55.0
EPZP,,0.0,ZILONA GORA,POLAND,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
EPZR,,0.0,ZAR,POLAND,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
ESCA,,0.0,STOCKHOLM,SWEDEN,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
ESCF,MALMEN,94.0,LINKOEPING,SWEDEN,,58.402,58.0,N,24.0,8.0,15.526,15.0,E,31.0,32.0
ESCK,BRAVALLA,28.0,NORRKOEPING,SWEDEN,,58.611000000000004,58.0,N,36.0,39.0,16.102999999999998,16.0,E,6.0,12.0
ESCL,,0.0,SODERHAMN,SWEDEN,SOO,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
ESCM,UPPSALA,21.0,UPPSALA,SWEDEN,,59.897,59.0,N,53.0,50.0,17.588,17.0,E,35.0,18.0
ESCN,TULLINGE,54.0,STOCKHOLM,SWEDEN,,59.181000000000004,59.0,N,10.0,51.0,17.912,17.0,E,54.0,44.0
ESDA,,0.0,LJUNGBYHED,SWEDEN,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
ESDB,ANGELHOLM,21.0,ANGELHOLM,SWEDEN,AGH,56.29600000000001,56.0,N,17.0,45.0,12.847000000000001,12.0,E,50.0,49.0
ESDF,RONNEBY,59.0,RONNEBY,SWEDEN,RNB,56.266999999999996,56.0,N,16.0,0.0,15.265,15.0,E,15.0,54.0
ESFH,HASSLOSA,80.0,HASSLOSA,SWEDEN,,58.409,58.0,N,24.0,33.0,13.262,13.0,E,15.0,45.0
ESFI,KNISLINGE,33.0,KNISLINGE,SWEDEN,,56.184,56.0,N,11.0,1.0,14.132,14.0,E,7.0,56.0
ESFJ,,0.0,SJOBO,SWEDEN,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
ESFM,MOHOLM,92.0,MOHOLM,SWEDEN,,58.598,58.0,N,35.0,53.0,14.114,14.0,E,6.0,49.0
ESFQ,KOSTA,231.0,KOSTA,SWEDEN,,56.843999999999994,56.0,N,50.0,39.0,15.452,15.0,E,27.0,9.0
ESFR,RADA,71.0,RADA,SWEDEN,,58.498000000000005,58.0,N,29.0,53.0,13.052999999999999,13.0,E,3.0,11.0
ESFY,BYHOLMA,153.0,BYHOLMA,SWEDEN,,56.785,56.0,N,47.0,6.0,13.602,13.0,E,36.0,6.0
ESGA,,0.0,BACKAMO,SWEDEN,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
ESGC,,0.0,ALLEBERG,SWEDEN,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
ESGG,LANDVETTER,155.0,GOTHENBORG,SWEDEN,GOT,57.663000000000004,57.0,N,39.0,46.0,12.28,12.0,E,16.0,47.0
ESGH,,0.0,HERRIJUNGA,SWEDEN,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
ESGI,,0.0,ALINGSAS,SWEDEN,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
ESGJ,JONKOPING,226.0,JOENKOEPING,SWEDEN,JKG,57.758,57.0,N,45.0,27.0,14.069,14.0,E,4.0,7.0
ESGK,FALKOPING,240.0,FALKOPING,SWEDEN,,58.17,58.0,N,10.0,11.0,13.588,13.0,E,35.0,16.0
ESGL,LIDKOPING,61.0,LIDKOPING,SWEDEN,LDK,58.465,58.0,N,27.0,55.0,13.174000000000001,13.0,E,10.0,27.0
ESGO,,0.0,VARGARDA,SWEDEN,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
ESGP,SAVE,18.0,GOTHENBORG,SWEDEN,GSE,57.775,57.0,N,46.0,29.0,11.87,11.0,E,52.0,13.0
ESGR,SKOVDE,99.0,SKOVDE,SWEDEN,KVB,58.456,58.0,N,27.0,23.0,13.972999999999999,13.0,E,58.0,21.0
ESGS,,0.0,STROMSTAD,SWEDEN,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
ESGT,TROLLHATTAN VANERSBORG,42.0,TROLLHATTAN,SWEDEN,THN,58.318000000000005,58.0,N,19.0,5.0,12.345,12.0,E,20.0,42.0
ESGV,,0.0,VARBERG,SWEDEN,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
ESGX,,0.0,BORAS-VIARED,SWEDEN,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
ESGY,,0.0,SAFFLE,SWEDEN,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
ESHB,,0.0,GOTHENBORG,SWEDEN,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
ESHC,,0.0,STOCKHOLM,SWEDEN,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
ESHE,,0.0,LANDSKRONA,SWEDEN,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
ESHG,,0.0,STOCKHOLM,SWEDEN,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
ESHH,,0.0,HELSINGBORG,SWEDEN,AGH,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
ESHL,,0.0,STOCKHOLM,SWEDEN,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
ESHM,,0.0,MALMOE,SWEDEN,JMM,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
ESHN,,0.0,NACKA,SWEDEN,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
ESHO,,0.0,SKOVDE HOSPITAL,SWEDEN,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
ESHR,,0.0,AKERSBERGA,SWEDEN,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
ESHU,,0.0,UPPSALA,SWEDEN,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
ESHV,,0.0,VAXHOLM,SWEDEN,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
ESHW,,0.0,VASTERVIK HOSPITAL,SWEDEN,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
ESIA,KARLSBORG,94.0,KARLSBORG,SWEDEN,,58.513999999999996,58.0,N,30.0,49.0,14.507,14.0,E,30.0,25.0
ESIB,SATENAS,56.0,SATENAS,SWEDEN,,58.426,58.0,N,25.0,35.0,12.714,12.0,E,42.0,51.0
ESKA,GIMO,19.0,GIMO,SWEDEN,,60.133,60.0,N,7.0,58.0,18.105,18.0,E,6.0,18.0
ESKB,BARKARBY,16.0,STOCKHOLM,SWEDEN,,59.419,59.0,N,25.0,7.0,17.891,17.0,E,53.0,26.0
ESKC,,0.0,SUNDBRO,SWEDEN,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
ESKD,,0.0,DALA-JARNA,SWEDEN,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
ESKG,,0.0,GRYTTJOM,SWEDEN,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
ESKH,,0.0,EKSHARAD,SWEDEN,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
