Date,Flight,Departure,STD,Arrival,STA,Aircraft,Status,Duration,Airline,ArrivalLoc,ArrivalIATA,ArrivalICAO,DepartureLoc,DepartureIATA,DepartureICAO
2020-01-27,WQ3571,"Brownsville, TX (BRO/KBRO)",09:45 CST,Guatemala City (GUA/MGGT),,B733 (N529AU),Landed,02h06m,SwiftAir/iAero,Guatemala City,GUA,MGGT,"Brownsville, TX",BRO,KBRO
2020-01-29,WQ3504,"Phoenix, AZ (AZA/KIWA)",07:00 MST,Guatemala City (GUA/MGGT),,B733 (N529AU),Landed,03h53m,SwiftAir/iAero,Guatemala City,GUA,MGGT,"Phoenix, AZ",AZA,KIWA
2020-01-29,WQ3567,"Houston, TX (IAH/KIAH)",08:10 CST,Guatemala City (GUA/MGGT),,B734 (N418US),Landed,02h22m,SwiftAir/iAero,Guatemala City,GUA,MGGT,"Houston, TX",IAH,KIAH
2020-01-30,WQ3447,"Alexandria, LA (AEX/KAEX)",06:05 CST,Guatemala City (GUA/MGGT),,B738 (N820TJ),Landed,02h30m,SwiftAir/iAero,Guatemala City,GUA,MGGT,"Alexandria, LA",AEX,KAEX
2020-01-30,WQ3516,"El Paso, TX (ELP/KELP)",07:25 MST,Guatemala City (GUA/MGGT),,B733 (N531AU),Landed,03h15m,SwiftAir/iAero,Guatemala City,GUA,MGGT,"El Paso, TX",ELP,KELP
2020-01-31,WQ3508,"Phoenix, AZ (AZA/KIWA)",07:00 MST,Guatemala City (GUA/MGGT),,B733 (N531AU),Landed,03h51m,SwiftAir/iAero,Guatemala City,GUA,MGGT,"Phoenix, AZ",AZA,KIWA
2020-02-03,WQ3535,"Brownsville, TX (BRO/KBRO)",06:35 CST,Guatemala City (GUA/MGGT),,B733 (N626SW),Landed,02h11m,SwiftAir/iAero,Guatemala City,GUA,MGGT,"Brownsville, TX",BRO,KBRO
2020-02-03,WQ3545,"El Paso, TX (ELP/KELP)",06:25 MST,Guatemala City (GUA/MGGT),,B738 (N917XA),Landed,03h20m,SwiftAir/iAero,Guatemala City,GUA,MGGT,"El Paso, TX",ELP,KELP
2020-02-05,WQ3504,"Phoenix, AZ (AZA/KIWA)",07:00 MST,Guatemala City (GUA/MGGT),,B733 (N529AU),Landed,04h08m,SwiftAir/iAero,Guatemala City,GUA,MGGT,"Phoenix, AZ",AZA,KIWA
2020-02-05,WQ3585,"Brownsville, TX (BRO/KBRO)",06:35 CST,Guatemala City (GUA/MGGT),,B734,Landed,02h08m,SwiftAir/iAero,Guatemala City,GUA,MGGT,"Brownsville, TX",BRO,KBRO
2020-02-06,WQ3563,"Alexandria, LA (AEX/KAEX)",06:05 CST,Guatemala City (GUA/MGGT),,B738 (N276EA),Landed,02h45m,SwiftAir/iAero,Guatemala City,GUA,MGGT,"Alexandria, LA",AEX,KAEX
2020-02-06,WQ3518,"El Paso, TX (ELP/KELP)",07:25 MST,Guatemala City (GUA/MGGT),,B733 (N626SW),Landed,03h07m,SwiftAir/iAero,Guatemala City,GUA,MGGT,"El Paso, TX",ELP,KELP
2020-02-07,WQ3508,"Phoenix, AZ (AZA/KIWA)",07:00 MST,Guatemala City (GUA/MGGT),,B733 (N626SW),Landed,03h53m,SwiftAir/iAero,Guatemala City,GUA,MGGT,"Phoenix, AZ",AZA,KIWA
2020-02-10,WQ3532,"El Paso, TX (ELP/KELP)",06:25 MST,Guatemala City (GUA/MGGT),,B733 (N531AU),Landed,03h17m,SwiftAir/iAero,Guatemala City,GUA,MGGT,"El Paso, TX",ELP,KELP
2020-02-12,WQ3564,"Alexandria, LA (AEX/KAEX)",07:05 CST,Guatemala City (GUA/MGGT),,B738 (N276EA),Landed,02h33m,SwiftAir/iAero,Guatemala City,GUA,MGGT,"Alexandria, LA",AEX,KAEX
2020-02-12,WQ3504,"Phoenix, AZ (AZA/KIWA)",07:00 MST,Guatemala City (GUA/MGGT),,B733 (N626SW),Landed,04h17m,SwiftAir/iAero,Guatemala City,GUA,MGGT,"Phoenix, AZ",AZA,KIWA
2020-02-12,WQ3530,"Brownsville, TX (BRO/KBRO)",08:25 CST,Guatemala City (GUA/MGGT),,B733 (N531AU),Landed,02h12m,SwiftAir/iAero,Guatemala City,GUA,MGGT,"Brownsville, TX",BRO,KBRO
2020-02-13,WQ3518,"El Paso, TX (ELP/KELP)",07:25 MST,Guatemala City (GUA/MGGT),,B733 (N529AU),Landed,03h27m,SwiftAir/iAero,Guatemala City,GUA,MGGT,"El Paso, TX",ELP,KELP
2020-02-13,WQ3589,"Phoenix, AZ (AZA/KIWA)",08:05 MST,Guatemala City (GUA/MGGT),,B734 (N418US),Landed,04h07m,SwiftAir/iAero,Guatemala City,GUA,MGGT,"Phoenix, AZ",AZA,KIWA
2020-02-14,WQ3508,"Phoenix, AZ (AZA/KIWA)",07:00 MST,Guatemala City (GUA/MGGT),,B733 (N626SW),Landed,03h51m,SwiftAir/iAero,Guatemala City,GUA,MGGT,"Phoenix, AZ",AZA,KIWA
2020-02-17,WQ3533,"El Paso, TX (ELP/KELP)",,Guatemala City (GUA/MGGT),,B733 (N627SW),Landed,,SwiftAir/iAero,Guatemala City,GUA,MGGT,"El Paso, TX",ELP,KELP
2020-02-19,WQ3577,"Alexandria, LA (AEX/KAEX)",07:05 CST,Guatemala City (GUA/MGGT),,B734 (N418US),Landed,02h35m,SwiftAir/iAero,Guatemala City,GUA,MGGT,"Alexandria, LA",AEX,KAEX
2020-02-19,WQ3540,"Houston, TX (IAH/KIAH)",08:15 CST,Guatemala City (GUA/MGGT),,B733 (N627SW),Landed,02h24m,SwiftAir/iAero,Guatemala City,GUA,MGGT,"Houston, TX",IAH,KIAH
2020-02-20,WQ3518,"El Paso, TX (ELP/KELP)",07:25 MST,Guatemala City (GUA/MGGT),,B738 (N276EA),Landed,03h14m,SwiftAir/iAero,Guatemala City,GUA,MGGT,"El Paso, TX",ELP,KELP
2020-02-20,WQ3585,"Phoenix, AZ (AZA/KIWA)",08:05 MST,Guatemala City (GUA/MGGT),,B734 (N418US),Landed,03h49m,SwiftAir/iAero,Guatemala City,GUA,MGGT,"Phoenix, AZ",AZA,KIWA
2020-02-21,WQ3506,"Phoenix, AZ (AZA/KIWA)",07:00 MST,Guatemala City (GUA/MGGT),,B733 (N531AU),Landed,03h42m,SwiftAir/iAero,Guatemala City,GUA,MGGT,"Phoenix, AZ",AZA,KIWA
2020-02-24,WQ3534,"El Paso, TX (ELP/KELP)",07:25 MST,Guatemala City (GUA/MGGT),,B733 (N627SW),Landed,03h15m,SwiftAir/iAero,Guatemala City,GUA,MGGT,"El Paso, TX",ELP,KELP
2020-02-26,WQ3566,"Houston, TX (IAH/KIAH)",08:10 CST,Guatemala City (GUA/MGGT),,B733 (N626SW),Landed,02h25m,SwiftAir/iAero,Guatemala City,GUA,MGGT,"Houston, TX",IAH,KIAH
2020-02-26,WQ3503,"Phoenix, AZ (AZA/KIWA)",07:00 MST,Guatemala City (GUA/MGGT),,B738 (N624XA),Landed,03h41m,SwiftAir/iAero,Guatemala City,GUA,MGGT,"Phoenix, AZ",AZA,KIWA
2020-02-27,WQ3529,"Phoenix, AZ (AZA/KIWA)",06:00 MST,Guatemala City (GUA/MGGT),,B738 (N276EA),Landed,03h36m,SwiftAir/iAero,Guatemala City,GUA,MGGT,"Phoenix, AZ",AZA,KIWA
2020-02-27,WQ3519,"El Paso, TX (ELP/KELP)",07:25 MST,Guatemala City (GUA/MGGT),,B733 (N531AU),Landed,03h15m,SwiftAir/iAero,Guatemala City,GUA,MGGT,"El Paso, TX",ELP,KELP
2020-02-27,WQ3568,"Alexandria, LA (AEX/KAEX)",06:05 CST,Guatemala City (GUA/MGGT),,B733 (N626SW),Landed,02h37m,SwiftAir/iAero,Guatemala City,GUA,MGGT,"Alexandria, LA",AEX,KAEX
2020-02-28,WQ3531,"Phoenix, AZ (AZA/KIWA)",,Guatemala City (GUA/MGGT),,B738 (N276EA),Landed,,SwiftAir/iAero,Guatemala City,GUA,MGGT,"Phoenix, AZ",AZA,KIWA
2020-03-02,WQ3536,"El Paso, TX (ELP/KELP)",07:25 MST,Guatemala City (GUA/MGGT),,B733 (N627SW),Landed,03h09m,SwiftAir/iAero,Guatemala City,GUA,MGGT,"El Paso, TX",ELP,KELP
2020-03-04,WQ3589,"Brownsville, TX (BRO/KBRO)",06:25 CST,Guatemala City (GUA/MGGT),,B734 (N441US),Landed,02h09m,SwiftAir/iAero,Guatemala City,GUA,MGGT,"Brownsville, TX",BRO,KBRO
2020-03-04,WQ3528,"Phoenix, AZ (AZA/KIWA)",07:00 MST,Guatemala City (GUA/MGGT),,B738 (N624XA),Landed,03h56m,SwiftAir/iAero,Guatemala City,GUA,MGGT,"Phoenix, AZ",AZA,KIWA
2020-03-05,WQ3560,"El Paso, TX (ELP/KELP)",05:25 MST,Guatemala City (GUA/MGGT),,B733 (N627SW),Landed,03h25m,SwiftAir/iAero,Guatemala City,GUA,MGGT,"El Paso, TX",ELP,KELP
2020-03-05,WQ3577,"Alexandria, LA (AEX/KAEX)",06:05 CST,Guatemala City (GUA/MGGT),,B733 (N626SW),Landed,02h36m,SwiftAir/iAero,Guatemala City,GUA,MGGT,"Alexandria, LA",AEX,KAEX
2020-03-06,WQ3514,"Phoenix, AZ (AZA/KIWA)",07:00 MST,Guatemala City (GUA/MGGT),,B733 (N531AU),Landed,03h51m,SwiftAir/iAero,Guatemala City,GUA,MGGT,"Phoenix, AZ",AZA,KIWA
2020-03-09,WQ3542,"El Paso, TX (ELP/KELP)",08:25 MDT,Guatemala City (GUA/MGGT),,B733 (N627SW),Landed,03h14m,SwiftAir/iAero,Guatemala City,GUA,MGGT,"El Paso, TX",ELP,KELP
2020-03-10,WQ3552,"Brownsville, TX (BRO/KBRO)",08:25 CDT,Guatemala City (GUA/MGGT),,B734 (N441US),Landed,02h11m,SwiftAir/iAero,Guatemala City,GUA,MGGT,"Brownsville, TX",BRO,KBRO
2020-03-11,WQ3577,"Alexandria, LA (AEX/KAEX)",06:05 CDT,Guatemala City (GUA/MGGT),,B738 (N917XA),Landed,02h16m,SwiftAir/iAero,Guatemala City,GUA,MGGT,"Alexandria, LA",AEX,KAEX
2020-03-11,WQ3582,"Houston, TX (IAH/KIAH)",08:40 CDT,Guatemala City (GUA/MGGT),,B734,Landed,02h22m,SwiftAir/iAero,Guatemala City,GUA,MGGT,"Houston, TX",IAH,KIAH
2020-03-11,WQ3531,"Phoenix, AZ (AZA/KIWA)",07:00 MST,Guatemala City (GUA/MGGT),,B738 (N624XA),Landed,03h36m,SwiftAir/iAero,Guatemala City,GUA,MGGT,"Phoenix, AZ",AZA,KIWA
2020-03-12,WQ3554,"El Paso, TX (ELP/KELP)",05:15 MDT,Guatemala City (GUA/MGGT),,B733 (N627SW),Landed,03h17m,SwiftAir/iAero,Guatemala City,GUA,MGGT,"El Paso, TX",ELP,KELP
2020-03-13,WQ3579,"Alexandria, LA (AEX/KAEX)",07:05 CDT,Guatemala City (GUA/MGGT),,B738 (N917XA),Landed,02h29m,SwiftAir/iAero,Guatemala City,GUA,MGGT,"Alexandria, LA",AEX,KAEX
2020-03-13,WQ3513,"Phoenix, AZ (AZA/KIWA)",07:00 MST,Guatemala City (GUA/MGGT),,B733 (N529AU),Landed,04h03m,SwiftAir/iAero,Guatemala City,GUA,MGGT,"Phoenix, AZ",AZA,KIWA
2020-03-16,WQ3542,"El Paso, TX (ELP/KELP)",08:25 MDT,Guatemala City (GUA/MGGT),,B733 (N627SW),Landed,03h29m,SwiftAir/iAero,Guatemala City,GUA,MGGT,"El Paso, TX",ELP,KELP
2020-03-19,WQ3593,"Brownsville, TX (BRO/KBRO)",09:00 CDT,Guatemala City (GUA/MGGT),,B733 (N627SW),Landed,02h06m,SwiftAir/iAero,Guatemala City,GUA,MGGT,"Brownsville, TX",BRO,KBRO
2020-03-20,WQ3513,"Phoenix, AZ (AZA/KIWA)",06:00 MST,Guatemala City (GUA/MGGT),,B733,Landed,03h46m,SwiftAir/iAero,Guatemala City,GUA,MGGT,"Phoenix, AZ",AZA,KIWA
2020-03-23,WQ3549,"El Paso, TX (ELP/KELP)",05:15 MDT,Guatemala City (GUA/MGGT),,B733 (N626SW),Landed,03h14m,SwiftAir/iAero,Guatemala City,GUA,MGGT,"El Paso, TX",ELP,KELP
2020-03-25,WQ3556,"Houston, TX (IAH/KIAH)",05:15 CDT,Guatemala City (GUA/MGGT),,B733 (N626SW),Landed,02h20m,SwiftAir/iAero,Guatemala City,GUA,MGGT,"Houston, TX",IAH,KIAH
2020-03-25,WQ3529,"San Antonio, TX (SAT/KSAT)",06:10 CDT,Guatemala City (GUA/MGGT),,B734,Landed,02h26m,SwiftAir/iAero,Guatemala City,GUA,MGGT,"San Antonio, TX",SAT,KSAT
2020-03-26,WQ3511,"El Paso, TX (ELP/KELP)",04:25 MDT,Guatemala City (GUA/MGGT),,B734 (N313XA),Landed,03h17m,SwiftAir/iAero,Guatemala City,GUA,MGGT,"El Paso, TX",ELP,KELP
2020-03-26,WQ3595,"Brownsville, TX (BRO/KBRO)",05:25 CDT,Guatemala City (GUA/MGGT),,B733 (N626SW),Landed,02h10m,SwiftAir/iAero,Guatemala City,GUA,MGGT,"Brownsville, TX",BRO,KBRO
2020-03-27,WQ3611,"Alexandria, LA (AEX/KAEX)",05:05 CDT,Guatemala City (GUA/MGGT),,B734 (N285XA),Landed,02h36m,SwiftAir/iAero,Guatemala City,GUA,MGGT,"Alexandria, LA",AEX,KAEX
2020-03-27,WQ3613,"Brownsville, TX (BRO/KBRO)",06:45 CDT,Guatemala City (GUA/MGGT),,B733 (N529AU),Landed,02h09m,SwiftAir/iAero,Guatemala City,GUA,MGGT,"Brownsville, TX",BRO,KBRO
2020-03-30,WQ3565,"El Paso, TX (ELP/KELP)",03:15 MDT,Guatemala City (GUA/MGGT),,B734 (N458UW),Landed,03h20m,SwiftAir/iAero,Guatemala City,GUA,MGGT,"El Paso, TX",ELP,KELP
2020-03-30,WQ3502,"Brownsville, TX (BRO/KBRO)",06:35 CDT,Guatemala City (GUA/MGGT),,B733 (N529AU),Landed,02h08m,SwiftAir/iAero,Guatemala City,GUA,MGGT,"Brownsville, TX",BRO,KBRO
2020-04-02,WQ3525,"Brownsville, TX (BRO/KBRO)",14:35 CDT,Guatemala City (GUA/MGGT),,B733 (N531AU),Landed,02h07m,SwiftAir/iAero,Guatemala City,GUA,MGGT,"Brownsville, TX",BRO,KBRO
2020-04-07,WQ3528,"Brownsville, TX (BRO/KBRO)",09:35 CDT,Guatemala City (GUA/MGGT),,B734 (N458UW),Landed,02h10m,SwiftAir/iAero,Guatemala City,GUA,MGGT,"Brownsville, TX",BRO,KBRO
2020-04-07,WQ3528,"Brownsville, TX (BRO/KBRO)",09:35 CDT,Guatemala City (GUA/MGGT),,B734 (N458UW),Landed,02h10m,SwiftAir/iAero,Guatemala City,GUA,MGGT,"Brownsville, TX",BRO,KBRO
